word,freq,article_count,rank
clear,2535,9071,252.0
countries,2532,4492,253.0
lot,2526,6558,254.0
mr obama,2523,1,255.0
lawyer,2521,2745,256.5
moment,2521,2994,256.5
right,2520,10177,258.0
protest,2513,3071,259.0
important,2507,3992,260.0
supporter,2506,3362,261.0
offer,2502,4678,262.0
role,2499,4142,263.0
along,2498,4348,264.0
president obama,2496,1940,265.0
cost,2493,3541,266.0
possible,2492,4707,267.5
included,2492,2498,267.5
stop,2487,5069,269.0
example,2483,2345,270.0
worked,2479,2640,271.0
vice president,2478,2116,272.0
turned,2477,3779,273.0
least,2473,5106,274.0
fight,2472,5950,275.0
especially,2469,2574,276.0
clinton,2461,4956,277.5
held,2461,4799,277.5
using,2460,5926,279.0
father,2442,2007,280.0
better,2439,3857,281.0
person,2437,6431,282.5
continued,2437,2524,282.5
second,2435,4642,284.5
june,2435,2660,284.5
turn,2424,9409,286.0
race,2415,4844,287.0
process,2410,4115,288.0
calling,2408,2798,289.0
money,2407,3828,290.0
companie,2404,3471,291.0
great,2400,5209,292.0
social media,2398,1637,293.0
message,2396,3120,294.0
return,2393,4306,295.0
office,2391,9459,296.0
expected,2390,4897,298.0
every,2390,7769,298.0
record,2390,3746,298.0
started,2388,2411,300.5
play,2388,5731,300.5
january,2381,2736,302.0
appeared,2369,2846,303.0
charge,2361,4451,304.0
year old,2360,107,305.0
investigation,2355,3590,306.0
presidential candidate,2348,1987,307.0
must,2341,4395,308.0
saw,2339,2600,309.0
individual,2331,2657,310.0
done,2330,4140,311.0
proposal,2323,2217,312.0
stand,2322,8250,313.0
house representative,2319,2160,314.0
saudi arabia,2312,975,315.0
fear,2305,3168,316.0
line,2303,11750,317.0
feel,2294,3400,318.0
comment,2293,6588,319.5
employee,2293,1808,319.5
soon,2289,2927,321.0
worker,2286,2706,322.0
open,2283,6443,323.0
three,2276,7815,324.0
death,2269,2993,325.0
challenge,2266,3629,326.0
big,2260,6576,327.0
said trump,2255,1632,328.0
outside,2251,3694,329.0
met,2247,9488,330.0
year,2242,18133,331.0
speech,2239,3580,332.0
taking,2237,4237,333.0
sometime,2235,2000,334.0
hold,2228,7054,335.0
april,2217,2134,336.0
book,2213,4065,337.0
operation,2202,3981,338.0
actually,2196,2270,339.0
mother,2195,1806,340.0
hit,2187,11068,341.5
market,2187,3236,341.5
sign,2183,11399,343.0
leave,2175,3569,344.0
policies,2173,2528,345.5
close,2173,7705,345.5
risk,2169,3097,347.0
britain,2167,2063,348.0
benefit,2165,2348,349.0
news conference,2163,1754,350.0
probably,2157,2025,351.0
economy,2148,2639,352.0
either,2146,3267,353.0
men,2145,29467,354.0
gave,2144,2743,355.5
politic,2144,11000,355.5
small,2138,4003,357.0
two year,2136,1631,358.0
official said,2132,1438,359.0
reason,2128,3754,360.0
information,2125,3464,361.0
getting,2123,2730,362.5
